,Time,Sim1,Sim2,Sim3
0,1992 – 2001 (9 years),Moi dix Mois,LAREINE,Közi
1,1989 – present (33 years),Diorama,L'Âme Immortelle,Deine Lakaien
2,1990 – present (32 years),Nattefrost,Gorgoroth,Urgehal
3,2002 – present (20 years),MALICE MIZER,Közi,LAREINE
4,1996 – present (26 years),The Crüxshadows,Seraphim Shock,The Last Dance
5,1989 – present (33 years),Paradise Lost,Tiamat,My Dying Bride
6,5 January 1969 (age 53),Rob Zombie,Marilyn Manson & The Spooky Kids,Nine Inch Nails
7,1997 – present (25 years),sukekiyo,ムック,the GazettE
8,2003 – present (19 years),Suicide Commando,Panzer AG,Hocico
9,,God Module,Suicide Commando,Hocico
10,,Suicide Commando,Nachtmahr,Hocico
11,,Belphegor,Dimmu Borgir,Dark Funeral
12,1993 – present (29 years),Suicide Commando,Amduscia,Dulce Liquido
13,1993 – present (29 years),Cradle of Filth,Old Man's Child,Satyricon
14,1990 (age 32),Paralysed Age,Corpus Delicti,Rosetta Stone
15,1999 – present (23 years),Dawn of Ashes,Die Sektor,Alien Vampires
16,1992 – present (30 years),The Last Dance,Bella Morte,Project Pitchfork
17,1991 – 2017 (26 years),Suicide Commando,Velvet Acid Christ,Funker Vogt
18,1993 – present (29 years),Anorexia Nervosa,Old Man's Child,Abigor
19,,Julie's Haircut,Gatto Ciliegia Contro Il Grande Freddo,Davide Van De Sfroos
20,,Noisuf-X,Phosgore,Terrorfakt
21,1993 – present (29 years),Samael,Dimmu Borgir,Deathstars
22,1995 – present (27 years),Agonoize,Suicide Commando,Tactical Sekt
23,1991 – present (31 years),Dimmu Borgir,Satyricon,Hecate Enthroned
24,2003 – 2012 (9 years),Asphyxia,Unter Null,Amduscia
25,1980 – present (42 years),Front 242,Die Krupps,Skinny Puppy
26,,Immortal,Marduk,Gehenna
27,1990 – present (32 years),Covenant,De/Vision,Project Pitchfork
28,1999 – present (23 years),Hocico,Dulce Liquido,C-Lekktor
29,,Assemblage 23,VNV Nation,Rotersand
30,1997 – present (25 years),Covenant,Rotersand,Assemblage 23
31,1984 – present (38 years),MDFMK,Skold,Chemlab
32,1995 – present (27 years),Assemblage 23,Rotersand,Colony 5
33,2000 – present (22 years),Nurzery [Rhymes],Die Sektor,Psyclon Nine
34,1989 – present (33 years),Lacrimosa,London After Midnight,Cinema Strange
35,1994 – present (28 years),Moving Units,Cursive,Shiny Toy Guns
36,1999 – present (23 years),Grendel,Suicide Commando,Hocico
37,"Bochum, Nordrhein-Westfalen, Germany",X-Fusion,X-Rx,Centhron
38,1989 – present (33 years),Project Pitchfork,:Wumpscut:,Terminal Choice
39,1997 – present (25 years),The Left Rights,Jack Off Jill,Angelspit
40,,Léo Delibes,Sergei Prokofiev,Camille Saint-Saëns
41,,Immortal,Darkthrone,Dissection
42,1995 – present (27 years),Limbonic Art,Old Man's Child,Carach Angren
43,,Tactical Sekt,Phosgore,Noisuf-X
44,1999 – present (23 years),Deathstars,Stahlmann,Stoneman
45,1978 – present (44 years),Arcadia,The Power Station,Japan
46,1995 – present (27 years),The Funky Lowlives,Nuspirit Helsinki,Soulstice
47,,The Funky Lowlives,Nuspirit Helsinki,Hird
48,1995 – present (27 years),Soma Sonic,Soulstice,Nuspirit Helsinki
49,28 May 1968 (age 54),Dannii Minogue,Madonna,Sophie Ellis-Bextor
50,1993 – 2021 (28 years),Justice,Scott Grooves,Modjo
51,1995 – present (27 years),Boozoo Bajou,The Funky Lowlives,A Forest Mighty Black
52,1999 – present (23 years),The Funky Lowlives,Soulstice,Soma Sonic
53,1980 – present (42 years),Electronic,Joy Division,Orchestral Manoeuvres in the Dark
54,1982 – present (40 years),Basia,Swing Out Sister,Shakatak
55,1981 – 1991 (10 years),Mark Hollis,Bark Psychosis,Simple Minds
56,1978 – present (44 years),The Blue Nile,Scritti Politti,Aztec Camera
57,,Era,Achillea,Deep Forest
58,1998 – present (24 years),Susanne Sundfør,GusGus,Goldfrapp
59,1996 – present (26 years),Keane,Imagine Dragons,Travis
60,1995 – present (27 years),Groove Armada,Leftfield,UNKLE
61,16 August 1958 (age 64),Kylie Minogue,Janet Jackson,Cher
62,1977 – present (45 years),Flowers,Cold Chisel,Mondo Rock
63,1982 – present (40 years),Erykah Badu,Janet Jackson,Anita Baker
64,11 September 1965 (age 57),The Funky Lowlives,Nuspirit Helsinki,Air
65,25 December 1971 (age 50),Natalie Imbruglia,KT Tunstall,Sarah McLachlan
66,1980 – present (42 years),Martin L. Gore,Recoil,Dave Gahan
67,,José Padilla,Marga Sol,Rue du Soleil
68,30 September 1954 (age 68),Matt Bianco,Swing Out Sister,Patti Austin
69,,De/Vision,Mesh,Alphaville
70,1989 – 1998 (9 years),New Order,The Other Two,Monaco
71,25 June 1963,Wham!,Lisa Stansfield,Simply Red
72,1984 – 1993 (9 years),Tigers Jaw,Pity Sex,You Blew It!
73,1983 – 1987 (4 years),China Crisis,Belouis Some,New Musik
74,1995 – present (27 years),Leftfield,Bent,Lemon Jelly
