artistID,Sim1,Sim2,Sim3
1,4,12702,18748
2,3191,3184,4872
3,18747,28,8343
4,1,18748,12702
5,18,18749,18442
6,181,883,4691
7,6257,7680,233
8,18750,1933,1910
9,1299,4873,13
10,41,1299,13
11,1299,6875,13
12,6818,15,2774
13,1299,31,18760
15,25,13678,1259
16,47204,3454,15606
17,38,6872,6873
18,18442,5,4871
19,1299,1277,37
20,48,13678,38862
21,18431,37498,18755
22,43,34212,44191
23,1275,15,3244
24,11,1299,1270
25,15,1259,18758
26,22583,3551,31
27,3289,18740,1203
28,1276,1260,13676
30,32,153,4871
31,13,18760,5699
32,1303,1295,1294
34,32,1294,1303
36,47106,47105,10163
37,1303,1294,1297
38,6237,6872,17
39,522,16,5113
40,27306,3714,3769
41,10,1299,13
43,5115,10998,47103
44,4871,44193,3188
45,10024,3558,6542
46,18766,10213,27711
47,1276,4272,4290
48,20,13678,7114
49,1270,34212,43
50,3244,20427,18770
51,2562,2556,98
52,47398,43177,47634
53,47398,43177,146
54,7492,47634,43177
55,789,67,535
56,1398,18778,16735
57,8201,47398,3539
58,47398,47634,7492
59,76,441,998
60,74,18794,46900
61,18784,39638,993
62,12298,1899,6743
63,727,16355,151
64,14530,18786,58
65,182,18948,221
66,80,16373,1787
67,55,285,340
68,18788,6395,44347
69,266,285,15920
70,47398,43177,53
71,1505,2544,3466
72,1072,1061,1713
73,37172,46367,18039
74,60,18794,30708
75,153,3988,877
76,59,17801,45980
77,1076,12351,95
78,8478,18797,18798
79,995,41790,1902
80,16373,5192,6190
81,47398,47634,146
82,3768,10633,1014
83,2567,996,4978
84,5154,45564,4735
85,100,999,2552
86,7140,12141,1772
87,9826,18803,6737
88,1095,1107,1400
89,67,466,300
90,66,18804,18805
91,994,1002,18806
92,18807,18808,18809
93,4126,4123,8802
94,42624,5195,66
95,12351,3104,77
96,9348,3113,47126
97,1556,3488,903
98,18812,1013,51
99,68,1884,993
100,999,994,1027
101,106,115,45324
102,18814,18815,28676
103,1727,113,1747
104,18817,45133,18819
105,18820,26347,13325
106,101,115,18822
107,18823,18824,18825
108,122,45324,18827
109,18828,18829,18830
110,18831,18832,18833
111,47608,47608,47608
