artistID, tag1,  tag2, tag3, tag4, tag5
1,visual kei,j-rock,japanese,gothic,gothic rock
2,darkwave,gothic,electronic,industrial,german artist
3,black metal,norwegian black metal,norwegian,true norwegian black metal,norwegian artist
4,visual kei,j-rock,gothic,gothic metal,japanese
5,gothic rock,darkwave,gothic,deathrock,industrial
6,gothic metal,doom metal,dark metal,black metal,metal
7,industrial,industrial metal,metal,rock,alternative
8,j-rock,visual kei,japanese,metal,dir en grey
9,industrial,ebm,dark electro,electronic,aggrotech
10,ebm,dark electro,industrial,harsh ebm,aggrotech
11,dark electro,ebm,industrial,aggrotech,harsh ebm
12,death metal,black metal,blackened death metal,metal,polish
13,dark electro,ebm,industrial,aggrotech,darkwave
15,black metal,symphonic black metal,melodic black metal,norwegian,metal
16,gothic rock,darkwave,gothic,industrial,goth
17,dark electro,industrial,aggrotech,ebm,harsh ebm
18,darkwave,gothic,electronic,industrial,goth
19,ebm,industrial,dark electro,darkwave,electro-industrial
20,symphonic black metal,black metal,melodic black metal,norwegian,metal
21,post rock,psychedelic,italian,songwriter,the velvet underground
22,industrial,powernoise,rhythmic noise,noise,ebm
23,industrial metal,black metal,cyber metal,industrial,symphonic black metal
24,industrial,ebm,electro-industrial,german,electronic
25,black metal,symphonic black metal,gothic metal,metal,death metal
26,dark electro,industrial,ebm,harsh ebm,french
27,industrial,martial industrial,electronic,experimental,ebm
28,black metal,norwegian black metal,true norwegian black metal,norwegian,metal
30,synthpop,ebm,electronic,futurepop,industrial
31,dark electro,ebm,aggrotech,industrial,harsh ebm
32,futurepop,ebm,synthpop,electronic,industrial
34,futurepop,ebm,industrial,electronic,synthpop
36,industrial,industrial rock,industrial metal,electronic,german
37,ebm,industrial,futurepop,electronic,german
38,dark electro,industrial,aggrotech,ebm,harsh ebm
39,darkwave,gothic,medieval,melancholic,german
40,electronic,indie,indie rock,poptron,dance
41,dark electro,ebm,industrial,aggrotech,darkwave
43,industrial,ebm,powernoise,dark electro,noise
44,darkwave,industrial,gothic,ebm,german
45,industrial,industrial jungle pussy punk,punk,electronic,alternative
46,classical,romantic,russian,composers,instrumental
