Time,HR,BR,Posture,Activity,PeakAccel,BatteryLevel,ECGAmplitude,ECGNoise,HRConfidence,ROGState,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak
2014-10-01 06:55:10.447,65,8.1,174,0.12,0.18,88,0.0,0.0,0,1,0.97,1.04,-0.02,0.1,-0.15,-0.03
2014-10-01 06:55:11.447,65,8.1,175,0.15,0.2,89,0.0,0.0,0,0,0.95,1.06,0.02,0.24,-0.12,0.04
2014-10-01 06:55:12.447,65,7.3,172,0.11,0.16,90,0.0,0.0,0,0,0.93,1.03,0.19,0.25,-0.07,0.03
2014-10-01 06:55:13.447,65,7.3,170,0.06,0.1,90,0.0,0.0,0,0,0.96,1.01,0.2,0.25,-0.1,-0.02
2014-10-01 06:55:14.447,65,6.6,172,0.14,0.46,90,0.0,0.0,0,0,0.69,1.37,-0.15,0.24,-0.25,0.07
2014-10-01 06:55:15.447,65,6.6,173,0.27,1.49,90,0.0,0.0,0,0,0.4,2.56,-1.86,0.98,-0.39,0.34
2014-10-01 06:55:16.447,65,5.9,173,0.08,0.15,90,0.0,4e-05,0,0,0.84,1.08,-0.06,0.21,-0.2,0.07
2014-10-01 06:55:17.447,0,5.9,174,0.12,0.18,90,0.0008,4e-05,0,0,0.92,1.07,-0.15,-0.02,-0.16,-0.03
2014-10-01 06:55:18.447,0,6.3,170,0.22,0.33,90,0.0008,4e-05,0,0,0.89,1.07,-0.37,-0.14,-0.21,0.01
2014-10-01 06:55:19.447,0,6.3,165,0.14,0.24,90,0.0008,2e-05,0,0,0.83,1.08,-0.39,-0.21,-0.19,-0.08
2014-10-01 06:55:20.447,0,6.7,164,0.04,0.08,90,0.0008,2e-05,0,0,0.91,0.98,-0.32,-0.2,-0.15,-0.08
2014-10-01 06:55:21.447,0,6.7,162,0.02,0.07,88,0.0008,2e-05,0,0,0.91,1.0,-0.32,-0.21,-0.15,-0.1
2014-10-01 06:55:22.447,0,6.0,163,0.02,0.06,86,0.0008,2e-05,0,0,0.92,0.98,-0.28,-0.19,-0.18,-0.13
2014-10-01 06:55:23.447,0,6.0,164,0.02,0.09,87,0.0008,2e-05,0,0,0.91,1.07,-0.32,-0.12,-0.22,-0.12
