Time,HR,BR,Posture,Activity,PeakAccel,BatteryLevel,ECGAmplitude,ECGNoise,HRConfidence,ROGState,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak
2014-10-04 21:44:52.445,52,8.1,-10,0.23,0.3,45,0.0,0.0,0,1,-1.08,-0.98,-0.08,0.04,0.14,0.27
2014-10-04 21:44:53.445,51,8.1,-15,0.28,1.89,41,0.0,0.0,0,1,-2.9,-0.18,-1.15,2.36,-0.39,1.01
2014-10-04 21:44:54.445,50,7.3,-14,0.41,2.44,38,0.0,0.0,0,1,-2.98,-0.6,-0.8,3.42,-0.26,0.86
2014-10-04 21:44:55.445,50,7.3,-11,0.17,0.32,35,0.0,0.0,0,1,-1.32,-0.84,0.0,0.32,-0.06,0.34
2014-10-04 21:44:56.445,50,7.6,-10,0.14,0.36,34,0.0,0.0,0,0,-1.42,-0.93,-0.09,0.18,-0.14,0.31
2014-10-04 21:44:57.445,50,7.6,-7,0.23,0.5,32,0.0,0.00014,0,0,-1.59,-0.75,-0.1,0.2,-0.31,0.27
2014-10-04 21:44:58.445,50,7.8,-7,0.2,0.6,32,0.0,0.00078,0,1,-1.53,-0.79,-0.1,0.21,-0.42,0.28
2014-10-04 21:44:59.445,50,7.8,-7,0.22,0.51,32,0.0,0.00088,0,1,-1.59,-0.8,-0.21,0.15,-0.16,0.3
2014-10-04 21:45:00.445,0,8.1,-1,0.27,0.65,32,0.0008,0.00076,0,1,-1.1,-0.72,-0.14,0.51,-0.49,0.25
2014-10-04 21:45:01.445,62,8.1,1,0.36,0.75,32,0.0008,0.00062,0,1,-1.75,-0.72,-0.15,0.49,-0.55,0.22
2014-10-04 21:45:02.445,69,8.4,1,0.09,0.15,31,0.00556,0.00046,0,1,-1.09,-0.98,-0.14,0.06,-0.13,0.08
2014-10-04 21:45:03.445,78,8.4,4,0.09,0.13,29,0.00556,0.00036,0,1,-1.03,-0.98,-0.13,-0.08,-0.12,-0.07
2014-10-04 21:45:04.445,81,8.7,7,0.04,0.07,29,0.0052,0.00032,13,1,-1.04,-1.0,-0.13,-0.08,-0.12,-0.04
2014-10-04 21:45:05.445,79,8.7,8,0.02,0.04,28,0.0052,0.00026,23,1,-1.04,-1.0,-0.13,-0.09,-0.12,-0.06
2014-10-04 21:45:06.445,75,9.0,8,0.02,0.13,28,0.00516,0.00024,33,1,-1.06,-0.98,-0.31,0.06,-0.13,-0.04
2014-10-04 21:45:07.445,72,9.0,8,0.01,0.03,28,0.00516,0.0002,41,1,-1.06,-1.0,-0.15,-0.09,-0.12,-0.04
2014-10-04 21:45:08.445,69,8.1,8,0.02,0.06,28,0.00478,0.00018,49,1,-1.04,-0.98,-0.13,-0.07,-0.12,-0.02
2014-10-04 21:45:09.445,66,8.1,8,0.01,0.03,28,0.00478,0.00016,55,1,-1.04,-0.98,-0.13,-0.08,-0.12,-0.04
2014-10-04 21:45:10.445,65,7.3,8,0.01,0.03,28,0.0051,0.00016,61,1,-1.04,-1.0,-0.13,-0.08,-0.1,-0.04
2014-10-04 21:45:11.445,66,7.3,8,0.02,0.04,28,0.0051,0.00014,66,1,-1.04,-1.0,-0.13,-0.06,-0.12,-0.03
2014-10-04 21:45:12.445,64,6.6,6,0.06,0.18,28,0.00506,0.00018,70,1,-1.07,-0.98,-0.13,0.04,-0.09,0.1
