,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
0,4,,,1275000,"Oatlands Manor, Oatlands Manor, Mount Merrion, Co. Dublin",Detached,yes,25
1,3,3,,395000,"The Willows Development, The Willows Development, Dunshaughlin, Co. Meath",Terrace,yes,25
2,3,2,,630000,"Domville, Cherrywood, Co. Dublin",Semi-D,yes,25
3,4,3,,740000,"Domville, Cherrywood, Co. Dublin",Semi-D,yes,25
4,2,2,,350000,"Vartry Wood, Ashford, Co. Wicklow",Terrace,yes,25
5,2,2,,365000,"Vartry Wood, Ashford, Co. Wicklow",End of Terrace,yes,25
6,2,2,,350000,"Vartry Wood, Ashford, Co. Wicklow",Terrace,yes,25
7,2,2,,365000,"Vartry Wood, Ashford, Co. Wicklow",End of Terrace,yes,25
8,4,4,,475000,"No. 3 Ros Alainn, Macroom, Co. Cork",Detached,yes,25
9,3,3,,320000,"King's Fort, Rathcormac, Co. Cork",Semi-D,yes,25
10,4,4,,390000,"King's Fort, Rathcormac, Co. Cork",Detached,yes,25
11,3,3,,455000,"The Darley, Straffan, Co. Kildare",Terrace,yes,25
12,3,3,,335750,"Bun Na Coille, Moycullen, Moycullen, Co. Galway",Terrace,yes,25
13,3,3,,387500,"Bun Na Coille, Moycullen, Moycullen, Co. Galway",Semi-D,yes,25
14,3,3,,335750,"Bun Na Coille, Moycullen, Co. Galway",Terrace,yes,25
15,3,3,,387500,"Bun Na Coille, Moycullen, Co. Galway",Semi-D,yes,25
16,3,3,,Price on Application,"Blossom Hill, Broomfield Village, Midleton, Co. Cork",Semi-D,yes,25
17,4,3,,Price on Application,"Blossom Hill, Broomfield Village, Midleton, Co. Cork",Semi-D,yes,25
18,2,2,,310000,"Donacarney Village Square, Donacarney, Drogheda, Co. Meath",Apartment,yes,25
19,3,3,,350000,"Donacarney Village Square, Donacarney, Drogheda, Co. Meath",Duplex,yes,25
20,1,1,,550000,"Thornhill Oaks, Cherrygarth, Mount Merrion, Co. Dublin",Apartment,yes,25
21,2,2,,720000,"Thornhill Oaks, Cherrygarth, Mount Merrion, Co. Dublin",Apartment,yes,25
22,3,3,,Price on Application,"Finlay Park, Naas, Co. Kildare",Semi-D,yes,25
23,4,3,,Price on Application,"Finlay Park, Naas, Co. Kildare",Semi-D,yes,25
24,3,3,,310000,"Strettel Avenue, Ballitore, Co. Kildare",Semi-D,yes,25
25,4,,,535000,"Westfield, Westfield, Green Lane, Easton, Leixlip, Co. Kildare",Semi-D,yes,25
26,5,4,,625000,"Janeville, Cherry Lane, Carrigaline, Co. Cork",Detached,yes,25
27,5,4,,625000,"Janeville, Cherry Lane, Carrigaline, Co. Cork",Detached,yes,25
28,3,3,,525000,"Kinsealy Woods, Chapel Rd, Kinsealy, Kinsealy, Co. Dublin",End of Terrace,yes,25
