,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
0,2,1,52.0,295000,"8 Parknasilla, Vevay Road, Bray, Co. Wicklow",Apartment,no,0
1,3,3,93.0,230000,"7 Meadow Avenue, The Meadows, Hollyhill, Co. Cork",Semi-D,no,0
2,4,3,86.0,265000,"5 Friar Street, Cork City, Co. Cork",Terrace,no,0
3,3,1,82.0,375000,"12 Barrack Street, Kinsale, Co. Cork",End of Terrace,no,0
4,5,4,186.0,405000,"3 The Garden, Whitefield Manor, Bettystown, Co. Meath",Semi-D,no,0
5,6,7,763.0,3000000,"7 Henrietta Street, Dublin 1",Terrace,no,0
6,5,5,328.0,795000,"Zion House, Carnmore West, Carnmore, Co. Galway",Detached,no,0
7,5,4,232.0,625000,"3 The Fairways, Maryborough Hill, Douglas, Co. Cork",Detached,no,0
8,3,2,171.0,230000,"Derryart, Dunfanaghy, Co. Donegal",Detached,no,0
9,4,3,125.0,295000,"168 Palace Fields, Tuam, Co. Galway",Semi-D,no,0
10,5,6,371.0,Price on Application,"Kilclare House, Conna, Co. Cork",Detached,no,0
11,5,5,781.0,10000000,"Drumleck House, Ceanchor Road, Howth, Dublin 13",Detached,no,0
12,4,3,200.0,875000,"13 Inverness Road, Fairview, Fairview, Dublin 3",Terrace,no,0
13,4,2,152.0,895000,"3 Ballymun Road, Glasnevin, Dublin 9",Detached,no,0
14,4,3,,725000,"Mallahow, Naul, Co. Dublin",Semi-D,no,0
15,1,1,48.0,270000,"Apartment 133, Block F, Bellevue, Islandbridge, Dublin 8",Apartment,no,0
16,4,3,181.0,495000,"13 Robin Vale, Herons Wood, Carrigaline, Co. Cork",Detached,no,0
17,2,2,60.0,245000,"4 Newlands Manor Drive, Clondalkin, Clondalkin, Dublin 22",Apartment,no,0
18,7,8,268.0,1200000,"Waterside House, Dromderrig, Kinsale, Co. Cork",Detached,no,0
19,,,3035.0855894136216,Price on Application,"The Paddocks, Killeen Castle, Dunsany, Co. Meath",Site,no,0
20,4,3,,200000,"Moyra, Falcarragh, Co. Donegal",Detached,no,1
21,3,3,116.0,310000,"23 Kinvara Park, Ballyvolane, Ballyvolane, Co. Cork",Semi-D,no,1
22,5,3,282.0,550000,"23 Tower Hill, Kilcoolishal, Glanmire, Co. Cork",Detached,no,1
23,3,1,59.0,195000,"54 Prosperity Square, Barrack Street, Cork City, Co. Cork",Terrace,no,1
24,4,3,128.0,650000,"LITTLE RASCALS, Ballagh, Monasterevin, Co. Kildare",Detached,no,1
25,3,2,102.0,210000,"27 Ard Michael, Ballinalee Road, Longford Town, Co. Longford",Semi-D,no,1
26,3,3,83.0,215000,"140 Ashefield, Mullingar, Co. Westmeath",Semi-D,no,1
27,4,3,,235000,"37 Curragh Park, Mullagh, Co. Cavan",Semi-D,no,1
28,2,1,61.0,265000,"1A McCurtains Villas, College Road, Cork City, Co. Cork",Semi-D,no,1
29,3,1,101.0,160000,"1 Thatched Cottages, Bauroe, Feakle, Co. Clare",Detached,no,1
30,2,1,72.0,575000,"5 Cedar Cottages, Linden Grove, Blackrock, Co. Dublin",End of Terrace,no,1
31,4,3,136.0,515000,"77 Somerton, Donabate, Co. Dublin",Semi-D,no,1
32,4,2,124.0,400000,"7 Heron Court, North Circular Road, North Circular Road, Co. Limerick",Semi-D,no,1
33,3,1,104.0,230000,"Sancta Maria, Church View, Tuam, Co. Galway",Detached,no,1
34,3,1,70.0,340000,"69 Kilbarron Park, Kilmore, Kilmore, Dublin 5",Terrace,no,1
35,2,1,57.0,320000,"Tykillen, Gooig, Castleconnell, Co. Limerick",Detached,no,1
36,3,3,96.0,238950,"39 Corran Ard, Athy, Co. Kildare",Semi-D,no,1
37,5,3,,925000,"5 Stepaside Park, Stepaside, Dublin 18",Detached,no,1
38,2,2,143.0,995000,"28 Leeson Park Avenue, Ranelagh, Ranelagh, Dublin 6",Terrace,no,1
39,3,3,115.0,350000,"54 Bellflower Close, Forest Hill, Carrigaline, Co. Cork",Semi-D,no,1
40,3,3,90.0,280000,"17 Forgehill Green, Stamullen, Co. Meath",Terrace,no,2
41,4,4,,320000,"Carrowntryla, Dunmore, Co. Galway",Detached,no,2
42,4,2,171.0,495000,"Kiltoghert, Stadalt, Stamullen, Co. Meath",Detached,no,2
43,4,5,235.0,600000,"Peacockstown, Mulhuddart, Kilbride, Co. Meath",Detached,no,2
44,4,2,176.0,425000,"The Acres, Brooklodge, Glanmire, Co. Cork",Detached,no,2
45,3,2,88.0,140000,"38 Orchard Court, Blackpool, Blackpool, Co. Cork",Terrace,no,2
46,5,2,265.0,1475000,"Fern House, 126, Ranelagh, Dublin 6",Terrace,no,2
47,4,3,,Price on Application,"Heather Point, Knockaglana, Pontoon, Co. Mayo",Detached,no,2
48,4,4,301.0,550000,"3 Brack Lúin, Baileboro Road, Kingscourt, Co. Cavan",Detached,no,2
49,2,1,65.0,265000,"15 Hazelwood Close, Glanmire, Glanmire, Co. Cork",Detached,no,2
50,4,4,342.0,395000,"Caragagh, Virginia, Co. Cavan",Detached,no,2
51,5,3,241.0,300000,"Portanure, Lough Gowna, Co. Cavan",Detached,no,2
52,4,3,114.0,290000,"14 Crestwood, Kilteragh, Dooradoyle, Co. Limerick",Semi-D,no,2
53,2,2,71.0,235000,"10F North Street, Ongar Village, Ongar, Dublin 15",Apartment,no,2
54,3,2,100.0,545000,"17 O'Donovan Road, South Circular Road, South Circular Road, Dublin 8",End of Terrace,no,2
55,3,3,121.0,585000,"30 Belarmine Close, Belarmine, Stepaside, Dublin 18",Semi-D,no,2
56,3,1,99.0,265000,"97 Rathmore Place, Richmond Hill, Cork City, Co. Cork",Semi-D,no,2
57,5,6,286.0,1495000,"11 Somerton, Castleknock Golf Club, Castleknock, Dublin 15",Detached,no,2
